episode,reward,steps,finished,offtrack_ratio,tiles_visited
385,-234.99999999999983,50,0,1.0,4
386,-234.99999999999983,50,0,1.0,4
387,-244.9999999999998,50,0,1.0,3
388,-234.99999999999983,50,0,1.0,4
389,-234.9999999999998,50,0,1.0,4
390,-234.99999999999983,50,0,1.0,4
391,-244.9999999999998,50,0,1.0,3
392,-234.99999999999983,50,0,1.0,4
393,-234.9999999999998,50,0,1.0,4
394,-244.9999999999998,50,0,1.0,3
395,-234.9999999999998,50,0,1.0,4
396,-244.9999999999998,50,0,1.0,3
397,-234.99999999999983,50,0,1.0,4
398,-234.9999999999998,50,0,1.0,4
399,-234.99999999999983,50,0,1.0,4
400,-224.99999999999983,50,0,1.0,5
401,-234.99999999999983,50,0,1.0,4
402,-234.99999999999983,50,0,1.0,4
403,-244.9999999999998,50,0,1.0,3
404,-224.99999999999983,50,0,1.0,5
405,-244.9999999999998,50,0,1.0,3
406,-234.99999999999983,50,0,1.0,4
407,-234.9999999999998,50,0,1.0,4
408,-224.99999999999983,50,0,1.0,5
409,-234.9999999999998,50,0,1.0,4
410,-234.9999999999998,50,0,1.0,4
411,-244.9999999999998,50,0,1.0,3
412,-244.9999999999998,50,0,1.0,3
413,-234.9999999999998,50,0,1.0,4
414,-224.99999999999983,50,0,1.0,5
415,-234.99999999999983,50,0,1.0,4
416,-234.9999999999998,50,0,1.0,4
417,-234.99999999999983,50,0,1.0,4
418,-234.99999999999983,50,0,1.0,4
419,-244.9999999999998,50,0,1.0,3
420,-244.9999999999998,50,0,1.0,3
421,-234.9999999999998,50,0,1.0,4
422,-234.9999999999998,50,0,1.0,4
423,-234.9999999999998,50,0,1.0,4
424,-234.99999999999983,50,0,1.0,4
425,-204.99999999999983,50,0,1.0,7
426,-244.9999999999998,50,0,1.0,3
427,-224.9999999999998,50,0,1.0,5
428,-234.9999999999998,50,0,1.0,4
429,-244.9999999999998,50,0,1.0,3
430,-234.9999999999998,50,0,1.0,4
431,-244.9999999999998,50,0,1.0,3
432,-234.99999999999983,50,0,1.0,4
433,-234.99999999999983,50,0,1.0,4
434,-234.99999999999983,50,0,1.0,4
435,-234.9999999999998,50,0,1.0,4
436,-224.99999999999983,50,0,1.0,5
437,-244.9999999999998,50,0,1.0,3
438,-234.9999999999998,50,0,1.0,4
439,-244.9999999999998,50,0,1.0,3
440,-234.99999999999983,50,0,1.0,4
441,-244.9999999999998,50,0,1.0,3
442,-224.99999999999983,50,0,1.0,5
443,-244.9999999999998,50,0,1.0,3
444,-234.99999999999983,50,0,1.0,4
445,-234.9999999999998,50,0,1.0,4
446,-244.9999999999998,50,0,1.0,3
447,-244.9999999999998,50,0,1.0,3
448,-234.99999999999983,50,0,1.0,4
449,-234.99999999999983,50,0,1.0,4
450,-234.99999999999983,50,0,1.0,4
451,-234.9999999999998,50,0,1.0,4
452,-224.99999999999983,50,0,1.0,5
453,-234.99999999999983,50,0,1.0,4
454,-234.99999999999983,50,0,1.0,4
455,-244.9999999999998,50,0,1.0,3
456,-244.9999999999998,50,0,1.0,3
457,-244.9999999999998,50,0,1.0,3
458,-224.99999999999983,50,0,1.0,5
459,-234.9999999999998,50,0,1.0,4
460,-234.99999999999983,50,0,1.0,4
461,-234.9999999999998,50,0,1.0,4
462,-234.99999999999983,50,0,1.0,4
463,-234.99999999999983,50,0,1.0,4
464,-244.9999999999998,50,0,1.0,3
465,-224.99999999999983,50,0,1.0,5
466,-234.9999999999998,50,0,1.0,4
467,-224.9999999999998,50,0,1.0,5
468,-244.9999999999998,50,0,1.0,3
469,-244.9999999999998,50,0,1.0,3
470,-234.99999999999983,50,0,1.0,4
471,-234.9999999999998,50,0,1.0,4
472,-224.99999999999983,50,0,1.0,5
473,-234.9999999999998,50,0,1.0,4
474,-224.9999999999998,50,0,1.0,5
475,-234.99999999999983,50,0,1.0,4
476,-244.9999999999998,50,0,1.0,3
477,-234.9999999999998,50,0,1.0,4
478,-234.99999999999983,50,0,1.0,4
479,-224.99999999999983,50,0,1.0,5
480,-234.99999999999983,50,0,1.0,4
481,-244.9999999999998,50,0,1.0,3
482,-234.99999999999983,50,0,1.0,4
483,-234.99999999999983,50,0,1.0,4
484,-244.9999999999998,50,0,1.0,3
485,-234.99999999999983,50,0,1.0,4
486,-234.9999999999998,50,0,1.0,4
487,-234.99999999999983,50,0,1.0,4
488,-234.9999999999998,50,0,1.0,4
489,-234.99999999999983,50,0,1.0,4
490,-244.9999999999998,50,0,1.0,3
491,-234.9999999999998,50,0,1.0,4
492,-234.99999999999983,50,0,1.0,4
493,-234.99999999999983,50,0,1.0,4
494,-234.9999999999998,50,0,1.0,4
495,-224.9999999999998,50,0,1.0,5
496,-234.99999999999983,50,0,1.0,4
497,-234.99999999999983,50,0,1.0,4
498,-234.9999999999998,50,0,1.0,4
499,-244.9999999999998,50,0,1.0,3
500,-244.9999999999998,50,0,1.0,3
501,-234.9999999999998,50,0,1.0,4
502,-244.9999999999998,50,0,1.0,3
503,-244.9999999999998,50,0,1.0,3
504,-244.99999999999983,50,0,1.0,3
505,-244.9999999999998,50,0,1.0,3
506,-234.9999999999998,50,0,1.0,4
507,-214.99999999999983,50,0,1.0,6
508,-244.99999999999983,50,0,1.0,3
509,-244.9999999999998,50,0,1.0,3
510,-234.9999999999998,50,0,1.0,4
511,-224.99999999999983,50,0,1.0,5
512,-244.9999999999998,50,0,1.0,3
513,-234.99999999999983,50,0,1.0,4
514,-234.9999999999998,50,0,1.0,4
515,-234.9999999999998,50,0,1.0,4
516,-224.99999999999983,50,0,1.0,5
517,-214.99999999999983,50,0,1.0,6
518,-224.99999999999983,50,0,1.0,5
519,-234.99999999999983,50,0,1.0,4
520,-224.99999999999983,50,0,1.0,5
521,-234.9999999999998,50,0,1.0,4
522,-234.99999999999983,50,0,1.0,4
523,-234.99999999999983,50,0,1.0,4
524,-244.9999999999998,50,0,1.0,3
525,-244.9999999999998,50,0,1.0,3
526,-244.9999999999998,50,0,1.0,3
527,-234.9999999999998,50,0,1.0,4
528,-214.99999999999983,50,0,1.0,6
529,-214.9999999999998,50,0,1.0,6
530,-234.9999999999998,50,0,1.0,4
531,-224.9999999999998,50,0,1.0,5
532,-234.99999999999983,50,0,1.0,4
533,-234.99999999999983,50,0,1.0,4
534,-244.9999999999998,50,0,1.0,3
535,-234.9999999999998,50,0,1.0,4
536,-234.99999999999983,50,0,1.0,4
537,-234.99999999999983,50,0,1.0,4
538,-244.9999999999998,50,0,1.0,3
539,-234.99999999999983,50,0,1.0,4
540,-234.9999999999998,50,0,1.0,4
541,-234.99999999999983,50,0,1.0,4
542,-234.99999999999983,50,0,1.0,4
543,-234.9999999999998,50,0,1.0,4
544,-234.99999999999983,50,0,1.0,4
545,-244.9999999999998,50,0,1.0,3
546,-244.9999999999998,50,0,1.0,3
547,-254.9999999999998,50,0,1.0,2
548,-234.99999999999983,50,0,1.0,4
549,-244.9999999999998,50,0,1.0,3
550,-234.99999999999983,50,0,1.0,4
551,-244.9999999999998,50,0,1.0,3
552,-224.99999999999983,50,0,1.0,5
553,-234.9999999999998,50,0,1.0,4
554,-234.99999999999983,50,0,1.0,4
555,-244.9999999999998,50,0,1.0,3
556,-234.9999999999998,50,0,1.0,4
557,-224.99999999999983,50,0,1.0,5
558,-214.99999999999983,50,0,1.0,6
559,-234.99999999999983,50,0,1.0,4
560,-224.9999999999998,50,0,1.0,5
561,-244.9999999999998,50,0,1.0,3
562,-234.99999999999983,50,0,1.0,4
563,-244.9999999999998,50,0,1.0,3
564,-204.99999999999983,50,0,1.0,7
565,-224.9999999999998,50,0,1.0,5
566,-244.9999999999998,50,0,1.0,3
567,-214.99999999999983,50,0,1.0,6
568,-214.99999999999983,50,0,1.0,6
569,-234.9999999999998,50,0,1.0,4
570,-234.99999999999983,50,0,1.0,4
571,-234.99999999999983,50,0,1.0,4
572,-234.99999999999983,50,0,1.0,4
573,-234.99999999999983,50,0,1.0,4
574,-234.9999999999998,50,0,1.0,4
575,-234.99999999999983,50,0,1.0,4
576,-244.99999999999983,50,0,1.0,3
577,-244.9999999999998,50,0,1.0,3
578,-234.99999999999983,50,0,1.0,4
579,-244.9999999999998,50,0,1.0,3
580,-234.99999999999983,50,0,1.0,4
581,-234.99999999999983,50,0,1.0,4
582,-234.99999999999983,50,0,1.0,4
583,-234.99999999999983,50,0,1.0,4
584,-224.99999999999983,50,0,1.0,5
585,-234.99999999999983,50,0,1.0,4
586,-234.9999999999998,50,0,1.0,4
587,-234.99999999999983,50,0,1.0,4
588,-234.99999999999983,50,0,1.0,4
589,-244.9999999999998,50,0,1.0,3
590,-244.9999999999998,50,0,1.0,3
591,-234.99999999999983,50,0,1.0,4
592,-234.99999999999983,50,0,1.0,4
593,-224.99999999999983,50,0,1.0,5
594,-244.9999999999998,50,0,1.0,3
595,-234.99999999999983,50,0,1.0,4
596,-244.9999999999998,50,0,1.0,3
597,-234.9999999999998,50,0,1.0,4
598,-234.99999999999983,50,0,1.0,4
599,-244.9999999999998,50,0,1.0,3
600,-234.9999999999998,50,0,1.0,4
601,-234.99999999999983,50,0,1.0,4
602,-234.9999999999998,50,0,1.0,4
603,-244.99999999999983,50,0,1.0,3
604,-234.99999999999983,50,0,1.0,4
605,-234.99999999999983,50,0,1.0,4
606,-234.99999999999983,50,0,1.0,4
607,-244.9999999999998,50,0,1.0,3
608,-224.99999999999983,50,0,1.0,5
609,-234.9999999999998,50,0,1.0,4
610,-224.99999999999983,50,0,1.0,5
611,-224.9999999999998,50,0,1.0,5
